"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Travail des grains (NAF rév. 2, niveau classe, poste 10.61)";"Codes"
"idBank";"010767639";""
"Dernière mise à jour";"06/05/2025 08:45";""
"Période";"";""
"2025-03";"100.02";"A"
"2025-02";"101.37";"A"
"2025-01";"101.16";"A"
"2024-12";"101.14";"A"
"2024-11";"99.29";"A"
"2024-10";"99.08";"A"
"2024-09";"100.03";"A"
"2024-08";"96.97";"A"
"2024-07";"100.23";"A"
"2024-06";"98.82";"A"
"2024-05";"102.75";"A"
"2024-04";"100.35";"A"
"2024-03";"100.24";"A"
"2024-02";"102.74";"A"
"2024-01";"98.46";"A"
"2023-12";"96.98";"A"
"2023-11";"96.82";"A"
"2023-10";"98.24";"A"
"2023-09";"98.59";"A"
"2023-08";"98.02";"A"
"2023-07";"96.37";"A"
"2023-06";"98.8";"A"
"2023-05";"96.58";"A"
"2023-04";"97.15";"A"
"2023-03";"96.17";"A"
"2023-02";"95.29";"A"
"2023-01";"94.13";"A"
"2022-12";"97.64";"A"
"2022-11";"101.05";"A"
"2022-10";"99.42";"A"
"2022-09";"97.93";"A"
"2022-08";"100.65";"A"
"2022-07";"101.76";"A"
"2022-06";"101.41";"A"
"2022-05";"99.83";"A"
"2022-04";"99.59";"A"
"2022-03";"103.0";"A"
"2022-02";"101.93";"A"
"2022-01";"101.68";"A"
"2021-12";"100.56";"A"
"2021-11";"102.98";"A"
"2021-10";"104.28";"A"
"2021-09";"99.49";"A"
"2021-08";"97.52";"A"
"2021-07";"98.62";"A"
"2021-06";"98.3";"A"
"2021-05";"98.87";"A"
"2021-04";"99.5";"A"
"2021-03";"98.17";"A"
"2021-02";"100.67";"A"
"2021-01";"101.05";"A"
"2020-12";"103.93";"A"
"2020-11";"101.22";"A"
"2020-10";"99.71";"A"
"2020-09";"101.52";"A"
"2020-08";"101.74";"A"
"2020-07";"103.06";"A"
"2020-06";"100.4";"A"
"2020-05";"100.32";"A"
"2020-04";"102.27";"A"
"2020-03";"108.38";"A"
"2020-02";"102.84";"A"
"2020-01";"104.16";"A"
"2019-12";"106.09";"A"
"2019-11";"102.54";"A"
"2019-10";"102.19";"A"
"2019-09";"103.43";"A"
"2019-08";"102.12";"A"
"2019-07";"99.32";"A"
"2019-06";"100.53";"A"
"2019-05";"107.2";"A"
"2019-04";"101.84";"A"
"2019-03";"99.63";"A"
"2019-02";"100.83";"A"
"2019-01";"100.81";"A"
"2018-12";"100.92";"A"
"2018-11";"101.1";"A"
"2018-10";"103.26";"A"
"2018-09";"101.62";"A"
"2018-08";"103.25";"A"
"2018-07";"98.9";"A"
"2018-06";"104.08";"A"
"2018-05";"104.7";"A"
"2018-04";"102.4";"A"
"2018-03";"105.87";"A"
"2018-02";"101.46";"A"
"2018-01";"101.17";"A"
"2017-12";"100.72";"A"
"2017-11";"108.51";"A"
"2017-10";"110.14";"A"
"2017-09";"110.14";"A"
"2017-08";"111.51";"A"
"2017-07";"109.9";"A"
"2017-06";"109.24";"A"
"2017-05";"109.82";"A"
"2017-04";"108.13";"A"
"2017-03";"107.26";"A"
"2017-02";"109.82";"A"
"2017-01";"105.52";"A"
"2016-12";"107.39";"A"
"2016-11";"110.68";"A"
"2016-10";"113.28";"A"
"2016-09";"108.83";"A"
"2016-08";"108.25";"A"
"2016-07";"108.91";"A"
"2016-06";"106.81";"A"
"2016-05";"105.31";"A"
"2016-04";"106.67";"A"
"2016-03";"105.8";"A"
"2016-02";"105.36";"A"
"2016-01";"107.33";"A"
